collectDate,dissolvedOxygen
2020-09-02 13:27:00,7.51
2020-06-09 15:35:00,7.5
2020-06-30 15:22:00,7.31
2020-08-04 15:07:00,6.06
2020-05-05 13:30:00,NA
2020-04-07 13:20:00,NA
2020-03-10 16:15:00,4.54
2020-02-11 15:50:00,3.55
2020-01-09 15:12:00,6.22
2019-12-04 17:40:00,9.09
2019-11-05 15:00:00,NA
2019-10-16 17:05:00,15.2
2018-02-13 16:45:00,8.01
2017-03-22 14:45:00,43.7
2019-01-10 17:10:00,0.09
2018-03-13 16:05:00,5.79
2017-04-12 14:40:00,17.2
2017-04-12 15:15:00,16.69
2017-04-12 15:40:00,18.8
2019-02-11 17:55:00,1.25
2017-01-18 16:15:00,0.68
2018-01-04 17:00:00,7.85
2017-02-13 16:15:00,0.16
2017-09-06 13:50:00,6.77
2017-09-06 14:15:00,6.26
2017-09-06 14:30:00,6.65
2018-08-07 16:16:00,5.13
2019-07-01 14:53:00,0.83
2016-10-19 15:05:00,9.3
2016-10-19 15:30:00,8.67
2016-10-19 15:55:00,8.34
2018-09-04 15:50:00,7.62
2017-10-19 14:25:00,9.98
2017-10-19 15:00:00,9.77
2017-10-19 15:20:00,10.49
2019-08-06 15:55:00,4.91
2016-11-16 15:40:00,10.62
2016-11-16 16:00:00,10.09
2016-11-16 16:15:00,11.04
2018-07-05 15:20:00,7.09
2017-08-03 14:15:00,1.97
2017-08-03 14:50:00,1.09
2017-08-03 15:09:00,2.64
2016-09-07 14:15:00,4.68
2016-09-07 14:41:00,7.7
2016-09-07 15:01:00,7.93
2019-06-04 15:25:00,8.41
2018-05-01 16:26:00,8.34
2017-06-08 14:10:00,5.39
2017-06-08 14:45:00,5.47
2017-06-08 15:10:00,6.31
2016-07-08 14:50:00,6.24
2016-07-08 15:20:00,5.35
2016-07-08 15:50:00,3.02
2019-04-23 16:00:00,6.88
2018-06-05 15:40:00,7.74
2018-06-20 15:50:00,11.08
2017-07-06 14:05:00,8.65
2017-07-06 15:00:00,8.26
2017-07-06 15:25:00,7.58
2016-08-03 13:40:00,2.99
2016-08-03 14:10:00,6.74
2016-08-03 14:30:00,10.78
2019-05-07 16:10:00,22.75
2018-04-17 16:03:00,10.72
2017-05-03 14:00:00,11.8
2017-05-03 14:20:00,11.21
2017-05-03 14:45:00,11.14
2016-06-08 14:15:00,6.2
2016-06-08 14:59:00,8.73
2016-06-08 15:23:00,11.08
2019-03-26 16:10:00,0.12
2018-12-04 16:42:00,4.91
2016-12-19 17:53:00,9.53
2018-10-16 16:03:00,12.12
2018-10-30 16:07:00,10.14
2017-11-01 14:49:00,12.74
2017-11-01 15:15:00,12.62
2017-11-01 15:37:00,13.68
2019-09-04 16:00:00,6.38
